episode,step,reward,flow_m3_min,sand_ratio_percent,action_clipped,simulated_pressure_mpa,simulated_half_length_m,bottomhole_pressure_mpa,net_pressure_mpa,posterior_error,abnormal_probability,sand_plug_probability,unsafe,unsafe_reasons,uncertain,uncertainty_reasons,severe_pressure_violation,segment_id,scenario_name,integrated_reward,effectiveness_reward,pressure_safety_penalty,abnormal_risk_penalty,construction_cost_penalty,response_model,condition_probability_source,prior_total_half_length_m,observed_total_half_length_m,posterior_total_half_length_m,mean_abs_kalman_gain,posterior_eprime_gpa,posterior_leakoff_m_sqrt_s,posterior_viscosity_pa_s,posterior_min_stress_mpa,cumulative_injected_volume_m3,current_total_rate_m3_s,pkn_update_skipped,surrogate_ood_score,surrogate_future_surface_pressure_mpa,surrogate_future_surface_pressure_max_mpa,high_level_option,high_level_option_id,option_age
0,0,-0.15279342028210502,3.3333333134651184,1.6,False,71.37102454171311,152.92118857008762,71.37102454171311,8.682188061707668,3.242877964921993,0.08056942769554579,0.0176,False,,True,posterior_error,False,FDBH15,historical_real,-0.5086036361562143,0.0,0.0,0.39267771078218316,0.11592592537403107,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,137.58243396014362,157.97219175215076,152.92118857008762,0.010345122101107643,32.534707989155486,8.676754919931585e-06,0.09787798156553634,62.68883648000544,13.333333313465118,0.05555555522441864,False,0.0,59.88214984117754,62.147335997111234,grow,1,1
0,1,-0.2734474844928628,4.424242436885834,1.6,False,73.38786647473324,214.7065052186658,73.38786647473324,11.952229379515956,0.5426058945141052,0.10886082500592092,0.015488000000000002,False,,True,posterior_error,False,FDBH15,historical_real,-0.6325131456583031,0.0,0.0,0.4973953000236837,0.1351178456346194,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,188.66962030876894,223.3804538696442,214.7065052186658,0.006195145192355941,33.64562728807312,7.715471862202364e-06,0.10017713872069439,61.43563709521729,17.757575750350952,0.07373737394809723,False,0.0,61.93349097689102,65.43757870593112,grow,1,2
0,2,-0.30407404312795744,5.2121211886405945,1.6,False,75.11526511312576,238.00348216045484,75.11526511312576,12.685370784499106,0.41546037020631815,0.11623000108852663,0.013629440000000001,False,,True,posterior_error,False,FDBH15,historical_real,-0.6673502215089633,0.0,0.0,0.5194377643541065,0.1479124571548568,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,259.64181800390406,204.59938626973445,238.00348216045484,0.004381330162669181,33.58026333826516,8.372747640841796e-06,0.0982376861292405,62.42989432862665,22.969696938991547,0.08686868647734323,False,0.0,61.9590007355874,65.4683289818833,grow,1,3
0,3,0.1993056306826782,5.606060564517975,1.6,False,75.35878693672726,298.9349041311149,75.35878693672726,13.161821353830508,0.24884279490781114,0.1202487552781128,0.0119939072,False,,False,,False,FDBH15,historical_real,-0.16968816032183487,0.5115720509218884,0.0,0.5289706499124511,0.15228956133127214,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,279.64409704551736,326.6073878286471,298.9349041311149,0.003420077460052997,33.4739192970224,7.864055986606245e-06,0.10128294514779024,62.19696558289675,28.57575750350952,0.09343434274196624,False,0.0,62.067981561826564,65.45915437650528,grow,1,4
0,4,0.3430564748443319,5.80303031206131,1.6,False,75.21543411058238,333.0797453495956,75.21543411058238,13.189197316172804,0.23192558362766647,0.12408463423587704,0.014707740821670439,False,,False,,False,FDBH15,historical_real,-0.028903451582018985,0.6807441637233353,0.0,0.55516950023019,0.15447811507516437,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,342.0215579956983,312.31444828032284,333.0797453495956,0.002515346621938052,33.61648258431303,8.06877790338881e-06,0.09839239254394172,62.02623679440956,34.37878781557083,0.0967171718676885,False,0.0,61.99901980023586,65.54915437650529,grow,1,5
0,5,0.15958244603866675,5.901515185832977,1.6,False,74.97340373953752,334.56285891459225,74.97340373953752,13.368834486070531,0.2488743983903742,0.1276065513871182,0.01478639502515182,False,,False,,False,FDBH15,historical_real,-0.21388816100322747,0.5112560160962578,0.0,0.5695717856490802,0.1555723914504051,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,370.833689694701,286.47739528542354,334.56285891459225,0.0020963374094974414,33.98946674075331,8.920406263744518e-06,0.09565086375220289,61.604569253466984,40.28030300140381,0.09835858643054962,False,0.0,62.023056755114304,65.56915437650528,grow,1,6
0,6,0.5466619533948985,4.926136374473572,1.6,False,73.90614023449908,353.2327542877272,73.90614023449908,12.42639073209299,0.20853814505266374,0.13081126338332555,0.015362384608814974,False,,False,,False,FDBH15,historical_real,0.1860098156842637,0.9146185494733625,0.0,0.5846945919685621,0.14391414182053672,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,353.1350585958694,343.0021715171311,353.2327542877272,0.0020400232976862283,33.64333555773319,8.915292183108336e-06,0.096250926043628,61.47974950240609,45.20643937587738,0.08210227290789286,False,0.0,62.04539832784255,65.61100942174073,hold,0,1
0,7,0.7871425515024922,4.1946022510528564,1.6,False,72.75435623057939,356.5818528512821,72.75435623057939,11.930146014147045,0.1893421425178836,0.12246286649097124,0.016500884190539255,False,,False,,False,FDBH15,historical_real,0.4230657439628104,1.1065785748211638,0.0,0.5558550027260419,0.1276578281323115,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,367.395142618494,326.9729554826606,356.5818528512821,0.0021487750521040137,34.20217872398511,9.094352482610455e-06,0.09354163788903755,60.82421021643234,49.40104162693024,0.06991003751754761,False,0.0,62.27588496239667,65.59747584987859,hold,0,2
0,8,1.7582511422931517,3.6459516882896423,1.6,False,69.85734421057126,385.68480303178586,69.85734421057126,9.2589278107948,0.1035027480733457,0.09865583085637739,0.015836787830704562,False,,False,,False,FDBH15,historical_real,1.391536451445112,1.964972519266543,0.0,0.4579704747483278,0.11546559307310317,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,359.1371130716959,415.5621333439822,385.68480303178586,0.001986554742342095,33.61687880132548,8.783070348589057e-06,0.09824589313644466,60.59841639977646,53.04699331521988,0.060765861471494036,False,0.0,60.31356784435281,62.410966330291586,hold,0,3
0,9,1.5274963125124699,3.169104367494583,1.6,False,67.95572839007448,403.3022034295917,67.95572839007448,7.695210008324351,0.13221283002152692,0.08551284942331888,0.017623938957882834,False,,False,,False,FDBH15,historical_real,1.1597293447742367,1.6778716997847305,0.0,0.41254715352480686,0.10559520148568682,learned_action_response_plus_pkn_enkf,real_segment_action_response_surrogate,388.61540626994343,433.9616024583267,403.3022034295917,0.0019445842853948276,33.81556235710996,8.597927731938783e-06,0.09913154609030345,60.26051838175013,56.21609768271446,0.05281840612490972,False,0.0,59.353692121517895,63.467123953329725,hold,0,4
