action_clipped_rate,algorithm,episode_reward_mean,episode_reward_std,mean_abnormal_risk_penalty,mean_construction_cost_penalty,mean_effectiveness_reward,mean_integrated_reward,mean_pressure_safety_penalty,policy,safety_audit,scenario,seed,step_reward_mean,uncertain_rate,unsafe_rate
0.08166666666666667,sac,61.89779238428665,43.22440657458513,0.8373390985679905,0.2661927685763019,1.8872596239080326,0.7043436295063813,0.033886638017386124,历史施工策略,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 10.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.09166666666666666, 'high_sand_ratio_count': 55, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.5, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 2.065833330154418, 'p95_absolute_flow_change_m3_min': 1.39719831058383, 'action_clipped_rate': 0.08166666666666667, 'confirmation_rate': 0.09166666666666666, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2026,1.0316298730714442,0.018333333333333333,0.0
0.09,sac,62.82338085186073,42.089425450035534,0.8118885838019572,0.2642513139795612,1.872143423460952,0.7182120464792822,0.033886638017386124,保守规则策略,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 10.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.09166666666666666, 'high_sand_ratio_count': 55, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.4285714328289032, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 2.000000000000001, 'p95_absolute_flow_change_m3_min': 1.3970156246889376, 'action_clipped_rate': 0.09, 'confirmation_rate': 0.09166666666666666, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2026,1.0470563475310122,0.023333333333333334,0.0
0.295,sac,61.24511922953959,45.86204088517529,0.6727218083263957,0.2944850987816649,1.8804047602419909,0.7527592167341065,0.004545124504860998,SAC智能体,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 12.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.295, 'high_sand_ratio_count': 177, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.28750279545783997, 'p95_sand_delta_from_reference_percent': 0.24526448771357534, 'max_absolute_flow_change_m3_min': 3.5696091651916504, 'p95_absolute_flow_change_m3_min': 3.4841153979301454, 'action_clipped_rate': 0.295, 'confirmation_rate': 0.295, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2027,1.0207519871589932,0.055,0.0
0.2866666666666667,sac,53.430942068114156,50.30870127814899,0.6108058978202494,0.25052756088439054,1.6273784863535659,0.607482497779525,0.04461142582415726,历史施工策略,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 12.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.2966666666666667, 'high_sand_ratio_count': 178, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.5, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 2.0, 'p95_absolute_flow_change_m3_min': 1.3900312989950179, 'action_clipped_rate': 0.2866666666666667, 'confirmation_rate': 0.2966666666666667, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2027,0.8905157011352359,0.041666666666666664,0.0
0.295,sac,54.23543631662155,48.884884759637714,0.6100325222835695,0.2507846006742339,1.640503156924907,0.62103200526451,0.04461142582415726,保守规则策略,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 12.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.295, 'high_sand_ratio_count': 177, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.4285714328289032, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 2.0, 'p95_absolute_flow_change_m3_min': 1.346984624862671, 'action_clipped_rate': 0.295, 'confirmation_rate': 0.295, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2027,0.9039239386103592,0.03666666666666667,0.0
0.0,sac,50.274093079902435,45.89966985430291,0.8091001405578876,0.19414590544994506,1.5757998243648828,0.5058065179678366,0.002076748199014648,SAC智能体,"{'available': True, 'max_observed_sand_ratio_percent': 6.197134554386139, 'p95_sand_ratio_percent': 6.1962811887264255, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.0, 'high_sand_ratio_count': 0, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.23816803097724912, 'p95_sand_delta_from_reference_percent': 0.2354437619447708, 'max_absolute_flow_change_m3_min': 3.529239416122436, 'p95_absolute_flow_change_m3_min': 3.518732964992523, 'action_clipped_rate': 0.0, 'confirmation_rate': 0.0, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2028,0.8379015513317074,0.09666666666666666,0.0
0.0,sac,35.22319998666951,51.12971206916424,0.7312194019482143,0.15259167056252868,1.1898023367992945,0.24373588313805905,0.03643670777724869,历史施工策略,"{'available': True, 'max_observed_sand_ratio_percent': 6.428571432828903, 'p95_sand_ratio_percent': 6.428571432828903, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.0, 'high_sand_ratio_count': 0, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.4571428596973419, 'p95_sand_delta_from_reference_percent': 0.4357142895460129, 'max_absolute_flow_change_m3_min': 3.19970703125, 'p95_absolute_flow_change_m3_min': 1.4932697162032122, 'action_clipped_rate': 0.0, 'confirmation_rate': 0.0, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2028,0.5870533331111586,0.07166666666666667,0.0
0.0,sac,34.50758254698585,50.01893681149971,0.7315867297436055,0.15124593758089944,1.1747253383768472,0.23080433841149153,0.03643670777724869,保守规则策略,"{'available': True, 'max_observed_sand_ratio_percent': 6.428571432828903, 'p95_sand_ratio_percent': 6.428571432828903, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.0, 'high_sand_ratio_count': 0, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.4285714328289032, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 3.19970703125, 'p95_absolute_flow_change_m3_min': 1.5113341987133024, 'action_clipped_rate': 0.0, 'confirmation_rate': 0.0, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2028,0.5751263757830976,0.07333333333333333,0.0
0.0,td3,100.17788230679953,40.20748199925392,0.4011526090282707,0.29570016917675457,2.1024977389176285,1.331939837832145,0.0,TD3智能体,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 10.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.09, 'high_sand_ratio_count': 54, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 7.748603820800781e-07, 'p95_sand_delta_from_reference_percent': 3.8743019104003906e-07, 'max_absolute_flow_change_m3_min': 4.000000000000001, 'p95_absolute_flow_change_m3_min': 4.0, 'action_clipped_rate': 0.0, 'confirmation_rate': 0.09, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2026,1.6696313717799922,0.041666666666666664,0.0
0.08166666666666667,td3,60.462623907256024,41.72977487544609,0.843265462264045,0.2647131944013756,1.8655921800010848,0.6796340904588152,0.033886638017386124,历史施工策略,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 10.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.09166666666666666, 'high_sand_ratio_count': 55, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.5, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 2.065833330154418, 'p95_absolute_flow_change_m3_min': 1.3981831564437597, 'action_clipped_rate': 0.08166666666666667, 'confirmation_rate': 0.09166666666666666, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2026,1.0077103984542668,0.02,0.0
0.09,td3,61.361788620592414,43.69820780443114,0.8294989443821037,0.2650850064098383,1.8674852304625245,0.6945400930054867,0.033886638017386124,保守规则策略,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 10.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.09166666666666666, 'high_sand_ratio_count': 55, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.4285714328289032, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 2.000000000000001, 'p95_absolute_flow_change_m3_min': 1.3970148106161513, 'action_clipped_rate': 0.09, 'confirmation_rate': 0.09166666666666666, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2026,1.0226964770098737,0.02,0.0
0.0,td3,83.10846373325475,38.55868570438108,0.45277602808580764,0.28481886523299454,1.9862985607252206,1.1024763890601263,0.0,TD3智能体,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 12.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.295, 'high_sand_ratio_count': 177, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 2.6971101760864258e-06, 'p95_sand_delta_from_reference_percent': 1.4327466487884501e-06, 'max_absolute_flow_change_m3_min': 4.0, 'p95_absolute_flow_change_m3_min': 4.0, 'action_clipped_rate': 0.0, 'confirmation_rate': 0.295, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2027,1.3851410622209128,0.06833333333333333,0.0
0.2866666666666667,td3,53.72197296078214,50.48182562444125,0.6092204974634954,0.2501400867812841,1.6297803852176278,0.6122009627688505,0.04461142582415726,历史施工策略,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 12.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.2966666666666667, 'high_sand_ratio_count': 178, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.5, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 2.0, 'p95_absolute_flow_change_m3_min': 1.3900312989950179, 'action_clipped_rate': 0.2866666666666667, 'confirmation_rate': 0.2966666666666667, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2027,0.8953662160130355,0.045,0.0
0.295,td3,55.39568643786197,50.27997588814047,0.6025358469743324,0.24950139951732977,1.648982021647856,0.6393354020656365,0.04461142582415726,保守规则策略,"{'available': True, 'max_observed_sand_ratio_percent': 13.0, 'p95_sand_ratio_percent': 12.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.295, 'high_sand_ratio_count': 177, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.4285714328289032, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 2.0, 'p95_absolute_flow_change_m3_min': 1.3466964453458785, 'action_clipped_rate': 0.295, 'confirmation_rate': 0.295, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2027,0.9232614406310328,0.03166666666666667,0.0
0.0,td3,73.84768056583644,47.39162693202599,0.5365358609931051,0.20752754633354917,1.7135117819989774,0.8919020783387737,0.0,TD3智能体,"{'available': True, 'max_observed_sand_ratio_percent': 6.0, 'p95_sand_ratio_percent': 6.0, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.0, 'high_sand_ratio_count': 0, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 1.4901161193847656e-08, 'p95_sand_delta_from_reference_percent': 1.4901161193847656e-08, 'max_absolute_flow_change_m3_min': 4.000000000000002, 'p95_absolute_flow_change_m3_min': 4.0, 'action_clipped_rate': 0.0, 'confirmation_rate': 0.0, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2028,1.2307946760972739,0.12166666666666667,0.0
0.0,td3,36.655246654449456,50.091011955976576,0.7285297013497931,0.15143935035427736,1.207049709622911,0.266498309082295,0.03643670777724869,历史施工策略,"{'available': True, 'max_observed_sand_ratio_percent': 6.428571432828903, 'p95_sand_ratio_percent': 6.428571432828903, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.0, 'high_sand_ratio_count': 0, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.4571428596973419, 'p95_sand_delta_from_reference_percent': 0.4357142895460129, 'max_absolute_flow_change_m3_min': 3.19970703125, 'p95_absolute_flow_change_m3_min': 1.4470355868339528, 'action_clipped_rate': 0.0, 'confirmation_rate': 0.0, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2028,0.6109207775741576,0.065,0.0
0.0,td3,36.98104264544711,50.332120292337194,0.7439126568884883,0.15549578223617394,1.238006311257318,0.2744387673559709,0.03643670777724869,保守规则策略,"{'available': True, 'max_observed_sand_ratio_percent': 6.428571432828903, 'p95_sand_ratio_percent': 6.428571432828903, 'high_sand_warning_percent': 10.0, 'high_sand_ratio_fraction': 0.0, 'high_sand_ratio_count': 0, 'hard_sand_limit_configured': False, 'hard_sand_limit_percent': None, 'hard_sand_limit_violation_count': None, 'sand_increase_over_step_count': 0, 'max_sand_delta_from_reference_percent': 0.4285714328289032, 'p95_sand_delta_from_reference_percent': 0.4285714328289032, 'max_absolute_flow_change_m3_min': 3.19970703125, 'p95_absolute_flow_change_m3_min': 1.5050823777914044, 'action_clipped_rate': 0.0, 'confirmation_rate': 0.0, 'surrogate_fallback_rate': 0.0, 'unsafe_rate': 0.0, 'nan_or_inf_output': False}",historical_real,2028,0.6163507107574518,0.07333333333333333,0.0
