algorithm,high_sand_fraction_delta_vs_conservative,high_sand_fraction_delta_vs_historical,mean_conservative_episode_reward,mean_conservative_high_sand_ratio_fraction,mean_episode_reward,mean_high_sand_ratio_fraction,mean_historical_episode_reward,mean_historical_high_sand_ratio_fraction,mean_p95_decision_seconds,mean_p95_sand_ratio_percent,mean_preventive_safe_within_180s_rate,mean_unsafe_rate,quality_gate_pass_rate,requested_seeds,reward_gain_vs_conservative,reward_gain_vs_historical,status,successful_seeds
ppo,0.0,-0.0005555555555555591,48.87088532043788,0.1288888888888889,56.393574227850216,0.1288888888888889,50.38318645553653,0.12944444444444445,0.05811344000017016,9.46809525390466,1.0,0.0,0.0,3,7.522688907412338,6.010387772313685,candidate_evaluation_complete,3
sac,0.0,-0.0005555555555555591,50.522133238489374,0.1288888888888889,63.56234521735576,0.1288888888888889,50.18397814635677,0.12944444444444445,0.06300295333280699,9.39876039624214,1.0,0.0,0.0,3,13.040211978866388,13.37836707099899,candidate_evaluation_complete,3
td3,-0.0005555555555555591,-0.0011111111111111183,51.246172567967164,0.1288888888888889,85.71134220196359,0.12833333333333333,50.27994784082921,0.12944444444444445,0.06245815499963403,9.333333333333334,1.0,0.0,0.0,3,34.465169633996425,35.43139436113438,candidate_evaluation_complete,3
